Name,lon,lat,Opened,Link
Aberporth,-4.57,52.139,1941,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/aberporthdata.txt
Armagh,-6.649,54.352,1853,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/armaghdata.txt
Ballypatrick Forest,-6.153,55.181,1961,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/ballypatrickdata.txt
Bradford,-1.772,53.813,1908,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/bradforddata.txt
Braemar No 2,-3.396,57.011,1959,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/braemardata.txt
Camborne,-5.327,50.218,1978,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/cambornedata.txt
Cambridge Niab,0.102,52.245,1959,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/cambridgedata.txt
Cardiff Bute Park,-3.187,51.488,1977,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/cardiffdata.txt
Chivenor,-4.147,51.089,1951,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/chivenordata.txt
Cwmystwyth,-3.802,52.358,1959,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/cwmystwythdata.txt
Dunstaffnage,-5.439,56.451,1971,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/dunstaffnagedata.txt
Durham,-1.585,54.768,1880,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/durhamdata.txt
Eastbourne,0.285,50.759,1959,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/eastbournedata.txt
Eskdalemuir,-3.205,55.312,1911,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/eskdalemuirdata.txt
Heathrow,-0.449,51.479,1948,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/heathrowdata.txt
Hurn,-1.835,50.779,1957,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/hurndata.txt
Lerwick,-1.183,60.139,1931,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/lerwickdata.txt
Leuchars,-2.861,56.377,1957,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/leucharsdata.txt
Lowestoft Monckton Avenue,1.727,52.483,1914,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/lowestoftdata.txt
Manston,1.337,51.346,1934,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/manstondata.txt
Nairn Druim,-3.821,57.593,1931,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/nairndata.txt
Newton Rigg,-2.786,54.67,1959,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/newtonriggdata.txt
Oxford,-1.262,51.761,1853,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/oxforddata.txt
Paisley,-4.43,55.846,1959,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/paisleydata.txt
Ringway,-2.279,53.356,1946,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/ringwaydata.txt
Ross-on-wye,-2.584,51.911,1931,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/rossonwyedata.txt
Shawbury,-2.663,52.794,1946,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/shawburydata.txt
Sheffield,-1.49,53.381,1883,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/sheffielddata.txt
Southampton Mayflower Park,-1.408,50.898,1855,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/southamptondata.txt
Stornoway Airport,-6.318,58.214,1873,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/stornowaydata.txt
Sutton Bonington,-1.25,52.836,1959,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/suttonboningtondata.txt
Tiree,-6.88,56.5,1928,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/tireedata.txt
Valley,-4.535,53.252,1931,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/valleydata.txt
Waddington,-0.522,53.175,1947,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/waddingtondata.txt
Whitby,-0.624,54.481,1961,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/whitbydata.txt
Wick Airport,-3.088,58.454,1914,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/wickairportdata.txt
Yeovilton,-2.641,51.006,1964,https://www.metoffice.gov.uk/pub/data/weather/uk/climate/stationdata/yeoviltondata.txt
